Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Barbados,Meat,Online,H,1/30/2022,228365695.0,7339.0,397.98,344.02,2920775.22,2524762.78,396012.44
Europe,Liechtenstein,Baby Food,Online,H,1/18/2023,295787847.0,9052.0,271.86,169.77,2460876.72,1536758.04,924118.68
Europe,Kosovo,Baby Food,Offline,L,6/10/2018,263852393.0,8641.0,262.74,164.08,2270336.34,1417815.28,852521.06
North America,Rwanda,Beverages,Offline,M,4/20/2021,959170663.0,8769.0,49.88,33.42,437397.72,293059.98,144337.74
Europe,Russia,Fruits,Offline,H,3/24/2019,578666484.0,9127.0,9.06,6.72,82690.62,61333.44,21357.18
North America,Sao Tome and Principe,Vegetables,Online,H,3/7/2023,539576184.0,1438.0,141.08,83.27,202873.04,119742.26,83130.78
Australia and Oceania,Samoa ,Household,Offline,L,9/1/2018,529448592.0,4459.0,713.1,536.25,3179712.9,2391138.75,788574.15
North America,Republic of the Congo,Vegetables,Online,L,6/6/2017,756145036.0,8974.0,157.9,93.19,1416994.6,836287.06,580707.54
Europe,Denmark,Personal Care,Offline,C,6/18/2020,597839343.0,2802.0,80.44,55.77,225392.88,156267.54,69125.34
Australia and Oceania,Tonga,Office Supplies,Offline,M,9/11/2016,853017842.0,5790.0,641.44,517.08,3713937.6,2993893.2,720044.4
Middle East and North Africa,Oman,Baby Food,Offline,L,8/16/2022,590479362.0,4820.0,257.74,160.95,1242306.8,775779.0,466527.8
Europe,Romania,Cosmetics,Offline,M,12/12/2017,299335229.0,8801.0,439.75,264.87,3870239.75,2331120.87,1539118.88
Central America and the Caribbean,The Bahamas,Clothes,Online,C,7/1/2017,539009273.0,3677.0,109.51,35.92,402668.27,132077.84,270590.43
Middle East and North Africa,Libya,Personal Care,Online,H,1/13/2022,589237821.0,7420.0,89.69,62.19,665499.8,461449.8,204050.0
Europe,Vatican City,Vegetables,Offline,L,1/10/2022,700069701.0,5037.0,147.2,86.88,741446.4,437614.56,303831.84
Europe,Ukraine,Household,Online,H,7/28/2016,741866242.0,3562.0,725.57,545.63,2584480.34,1943534.06,640946.28
Central America and the Caribbean,Antigua and Barbuda ,Cereal,Offline,L,3/12/2017,655301272.0,7064.0,200.77,114.3,1418239.28,807415.2,610824.08
Australia and Oceania,Fiji,Beverages,Online,C,5/5/2023,901361119.0,1640.0,43.24,28.97,70913.6,47510.8,23402.8
Europe,Bulgaria,Snacks,Offline,L,3/1/2016,211344611.0,422.0,141.5,90.37,59713.0,38136.14,21576.86
Middle East and North Africa,Turkey,Beverages,Online,L,3/2/2020,536863076.0,8569.0,48.74,32.65,417653.06,279777.85,137875.21
North America,Cote d'Ivoire,Personal Care,Online,M,11/5/2018,299840342.0,8275.0,83.41,57.84,690217.75,478626.0,211591.75
Central America and the Caribbean,Antigua and Barbuda ,Clothes,Offline,H,6/24/2023,242512738.0,3763.0,119.17,39.08,448436.71,147058.04,301378.67
Australia and Oceania,Samoa ,Clothes,Online,M,6/22/2019,277429091.0,6288.0,107.81,35.36,677909.28,222343.68,455565.6
Asia,Sri Lanka,Vegetables,Offline,H,6/15/2020,837450730.0,9136.0,167.61,98.93,1531284.96,903824.48,627460.48
Europe,San Marino,Personal Care,Offline,H,9/29/2023,625751483.0,2624.0,88.17,61.14,231358.08,160431.36,70926.72
Europe,Serbia,Fruits,Online,C,9/26/2023,665817677.0,9102.0,9.76,7.24,88835.52,65898.48,22937.04
Australia and Oceania,Australia,Fruits,Online,M,2/6/2016,251448142.0,7948.0,8.62,6.39,68511.76,50787.72,17724.04
Europe,Russia,Baby Food,Offline,L,9/20/2016,996754205.0,574.0,250.04,156.15,143522.96,89630.1,53892.86
Middle East and North Africa,Pakistan,Vegetables,Offline,H,8/8/2017,986159694.0,5423.0,157.9,93.19,856291.7,505369.37,350922.33
Asia,Turkmenistan,Household,Offline,H,5/28/2023,624400937.0,2968.0,632.31,475.5,1876696.08,1411284.0,465412.08
Central America and the Caribbean,The Bahamas,Personal Care,Offline,M,6/24/2020,386526763.0,713.0,80.44,55.77,57353.72,39764.01,17589.71
North America,Gabon,Cosmetics,Online,H,5/25/2021,367898499.0,8196.0,418.06,251.8,3426419.76,2063752.8,1362666.96
Europe,Germany,Cereal,Online,H,11/10/2020,734189975.0,1984.0,191.0,108.74,378944.0,215740.16,163203.84
North America,Togo,Cosmetics,Offline,L,10/9/2019,371387517.0,674.0,460.68,277.47,310498.32,187014.78,123483.54
Europe,Belarus,Beverages,Online,L,10/3/2016,935789954.0,9898.0,43.95,29.44,435017.1,291397.12,143619.98
Europe,Germany,Cereal,Online,M,1/23/2017,104008615.0,7315.0,200.77,114.3,1468632.55,836104.5,632528.05
Europe,Belarus,Beverages,Online,H,3/24/2021,122967326.0,7619.0,49.88,33.42,380035.72,254626.98,125408.74
Middle East and North Africa,Kuwait,Baby Food,Online,C,2/17/2016,159902417.0,7533.0,250.04,156.15,1883551.32,1176277.95,707273.37
Sub-Saharan Africa,Greenland,Meat,Offline,C,5/12/2019,352362716.0,813.0,394.44,340.96,320679.72,277200.48,43479.24
North America,Central African Republic,Beverages,Online,C,9/21/2019,458209550.0,3243.0,47.12,31.57,152810.16,102381.51,50428.65
Europe,Montenegro,Cereal,Offline,M,6/6/2016,305616748.0,7642.0,201.4,114.66,1539098.8,876231.72,662867.08
Europe,Malta,Office Supplies,Offline,M,5/5/2017,243070638.0,8858.0,664.11,535.36,5882686.38,4742218.88,1140467.5
North America,Cameroon,Personal Care,Offline,M,1/7/2020,689370048.0,8771.0,80.44,55.77,705539.24,489158.67,216380.57
Middle East and North Africa,Egypt,Beverages,Offline,H,2/3/2021,783626306.0,1293.0,49.88,33.42,64494.84,43212.06,21282.78
Middle East and North Africa,Lebanon,Beverages,Offline,C,6/21/2022,635263240.0,7364.0,48.07,32.2,353987.48,237120.8,116866.68
Australia and Oceania,Tuvalu,Personal Care,Offline,L,9/11/2022,874017179.0,9961.0,89.69,62.19,893402.09,619474.59,273927.5
Middle East and North Africa,Azerbaijan,Office Supplies,Online,H,1/7/2018,399936950.0,9086.0,601.4,484.81,5464320.4,4404983.66,1059336.74
Middle East and North Africa,Jordan,Vegetables,Online,C,11/23/2018,433383882.0,6776.0,151.37,89.34,1025683.12,605367.84,420315.28
Australia and Oceania,Solomon Islands,Meat,Offline,M,12/4/2017,465031802.0,2099.0,436.35,377.19,915898.65,791721.81,124176.84
Europe,Bulgaria,Clothes,Offline,L,5/4/2016,505867040.0,6153.0,107.69,35.32,662616.57,217323.96,445292.61
Europe,France,Cosmetics,Online,C,3/20/2020,637188422.0,7069.0,444.24,267.57,3140332.56,1891452.33,1248880.23
Middle East and North Africa,Algeria,Vegetables,Online,M,7/24/2023,560607278.0,5006.0,141.08,83.27,706246.48,416849.62,289396.86
Middle East and North Africa,Israel,Cosmetics,Offline,M,3/24/2017,948047435.0,7159.0,439.75,264.87,3148170.25,1896204.33,1251965.92
North America,Guinea-Bissau,Cosmetics,Offline,C,4/11/2020,291745221.0,2749.0,444.24,267.57,1221215.76,735549.93,485665.83
North America,Benin,Baby Food,Online,H,5/2/2018,754249465.0,8033.0,262.74,164.08,2110590.42,1318054.64,792535.78
Europe,San Marino,Cereal,Online,H,10/22/2022,518421494.0,1296.0,213.22,121.39,276333.12,157321.44,119011.68
Middle East and North Africa,Pakistan,Baby Food,Online,L,8/31/2019,537435138.0,7855.0,279.84,174.76,2198143.2,1372739.8,825403.4
North America,Mali,Beverages,Online,H,8/27/2018,484776723.0,5060.0,51.81,34.71,262158.6,175632.6,86526.0
Europe,United Kingdom,Fruits,Offline,M,3/27/2019,104245078.0,7290.0,9.06,6.72,66047.4,48988.8,17058.6
Central America and the Caribbean,The Bahamas,Beverages,Offline,H,12/5/2023,559951531.0,956.0,43.24,28.97,41337.44,27695.32,13642.12
Europe,Spain,Vegetables,Online,C,12/16/2016,386319911.0,9501.0,148.02,87.37,1406338.02,830102.37,576235.65
North America,Madagascar,Vegetables,Offline,C,5/3/2018,438086545.0,8399.0,151.37,89.34,1271356.63,750366.66,520989.97
Europe,Cyprus,Baby Food,Online,M,3/17/2022,740300261.0,153.0,257.74,160.95,39434.22,24625.35,14808.87
North America,Mauritania,Baby Food,Offline,M,3/17/2018,938322389.0,9301.0,262.74,164.08,2443744.74,1526108.08,917636.66
Europe,Macedonia,Office Supplies,Offline,C,7/17/2021,747826755.0,7410.0,681.53,549.4,5050137.3,4071054.0,979083.3
Middle East and North Africa,Azerbaijan,Household,Online,M,8/12/2018,404799687.0,8078.0,713.1,536.25,5760421.8,4331827.5,1428594.3
Europe,Romania,Personal Care,Offline,M,12/21/2018,215540015.0,1935.0,83.41,57.84,161398.35,111920.4,49477.95
Central America and the Caribbean,Saint Kitts and Nevis ,Personal Care,Offline,L,7/7/2018,106659066.0,1643.0,83.41,57.84,137042.63,95031.12,42011.51
Europe,Kosovo,Vegetables,Offline,C,7/23/2021,975080668.0,6893.0,143.22,84.53,987215.46,582665.29,404550.17
Europe,Bosnia and Herzegovina,Baby Food,Online,L,10/9/2018,638041150.0,9410.0,262.74,164.08,2472383.4,1543992.8,928390.6
Europe,Greece,Cosmetics,Online,C,5/22/2016,583089339.0,7948.0,447.9,269.77,3559909.2,2144131.96,1415777.24
Europe,Norway,Snacks,Online,M,2/19/2022,118086564.0,3293.0,140.03,89.43,461118.79,294492.99,166625.8
North America,Mauritius ,Office Supplies,Online,L,4/21/2016,421206653.0,3264.0,641.44,517.08,2093660.16,1687749.12,405911.04
Central America and the Caribbean,Nicaragua,Clothes,Offline,C,2/8/2018,490935933.0,7707.0,109.01,35.75,840140.07,275525.25,564614.82
Europe,Malta,Baby Food,Offline,C,4/27/2023,296073234.0,3504.0,271.86,169.77,952597.44,594874.08,357723.36
Central America and the Caribbean,Saint Lucia,Baby Food,Online,M,10/16/2020,325729882.0,9565.0,236.58,147.74,2262887.7,1413133.1,849754.6
Asia,Sri Lanka,Clothes,Online,L,3/17/2016,239329707.0,1834.0,107.69,35.32,197503.46,64776.88,132726.58
Sub-Saharan Africa,Mexico,Beverages,Offline,L,6/22/2021,216609036.0,8282.0,49.88,33.42,413106.16,276784.44,136321.72
Asia,North Korea,Fruits,Offline,H,11/29/2017,507616698.0,3916.0,9.88,7.33,38690.08,28704.28,9985.8
Central America and the Caribbean,Nicaragua,Vegetables,Online,L,5/4/2023,982714021.0,5772.0,141.08,83.27,814313.76,480634.44,333679.32
North America,Botswana,Clothes,Offline,H,7/24/2022,682574832.0,7916.0,112.02,36.74,886750.32,290833.84,595916.48
Europe,Poland,Snacks,Online,M,1/9/2019,968185460.0,6448.0,154.99,98.98,999375.52,638223.04,361152.48
Central America and the Caribbean,Saint Vincent and the Grenadines,Fruits,Offline,H,8/7/2020,570844733.0,4497.0,9.38,6.96,42181.86,31299.12,10882.74
North America,Mauritius ,Baby Food,Online,M,1/26/2021,542163980.0,7224.0,230.66,144.04,1666287.84,1040544.96,625742.88
North America,Zambia,Meat,Online,H,7/5/2019,204067027.0,6823.0,394.44,340.96,2691264.12,2326370.08,364894.04
North America,Guinea,Clothes,Offline,H,3/11/2019,298790204.0,7516.0,107.81,35.36,810299.96,265765.76,544534.2
Central America and the Caribbean,Nicaragua,Cereal,Online,M,2/6/2023,738882339.0,558.0,200.03,113.88,111616.74,63545.04,48071.7
Central America and the Caribbean,Haiti,Cosmetics,Online,M,9/16/2017,157204759.0,9236.0,439.75,264.87,4061531.0,2446339.32,1615191.68
Middle East and North Africa,Qatar,Fruits,Offline,L,6/28/2023,856931293.0,3867.0,9.76,7.24,37741.92,27997.08,9744.84
North America,Tanzania,Snacks,Offline,L,4/7/2021,261548268.0,6800.0,142.54,91.03,969272.0,619004.0,350268.0
Europe,Kosovo,Baby Food,Offline,M,9/13/2018,364854514.0,7413.0,262.74,164.08,1947691.62,1216325.04,731366.58
Europe,Luxembourg,Cosmetics,Online,C,9/6/2019,980961358.0,7120.0,460.68,277.47,3280041.6,1975586.4,1304455.2
Asia,Japan,Cosmetics,Offline,L,3/21/2020,194292628.0,4361.0,444.24,267.57,1937330.64,1166872.77,770457.87
Middle East and North Africa,Qatar,Vegetables,Offline,H,12/17/2022,209584653.0,9611.0,147.2,86.88,1414739.2,835003.68,579735.52
Europe,France,Fruits,Offline,C,4/9/2020,601886260.0,374.0,9.38,6.96,3508.12,2603.04,905.08
Central America and the Caribbean,Saint Kitts and Nevis ,Cosmetics,Online,C,9/17/2020,566558778.0,6187.0,444.24,267.57,2748512.88,1655455.59,1093057.29
North America,Eritrea,Personal Care,Offline,M,7/22/2022,269276034.0,3617.0,89.69,62.19,324408.73,224941.23,99467.5
Middle East and North Africa,Jordan,Office Supplies,Offline,L,7/29/2017,396024358.0,1263.0,664.11,535.36,838770.93,676159.68,162611.25
North America,Togo,Cereal,Offline,C,7/10/2017,803102576.0,4754.0,200.77,114.3,954460.58,543382.2,411078.38
North America,Burundi,Office Supplies,Online,M,1/31/2020,967122018.0,1752.0,699.12,563.58,1224858.24,987392.16,237466.08
North America,Ethiopia,Personal Care,Online,L,3/23/2020,435006511.0,6948.0,80.44,55.77,558897.12,387489.96,171407.16
Middle East and North Africa,Iran,Vegetables,Online,C,7/14/2023,173992383.0,7067.0,141.08,83.27,997012.36,588469.09,408543.27
Europe,Poland,Household,Online,L,4/27/2017,321628463.0,5864.0,718.44,540.27,4212932.16,3168143.28,1044788.88
Australia and Oceania,Palau,Cereal,Offline,M,2/4/2017,635776078.0,9125.0,200.77,114.3,1832026.25,1042987.5,789038.75
Europe,Portugal,Meat,Online,L,1/30/2020,944609057.0,9666.0,397.31,343.45,3840398.46,3319787.7,520610.76
Central America and the Caribbean,El Salvador,Vegetables,Online,M,12/26/2018,696613729.0,2337.0,151.37,89.34,353751.69,208787.58,144964.11
Europe,Malta,Cosmetics,Offline,H,12/14/2018,310588920.0,9018.0,419.34,252.57,3781608.12,2277676.26,1503931.86
North America,South Sudan,Office Supplies,Online,C,8/8/2018,725645959.0,3620.0,601.4,484.81,2177068.0,1755012.2,422055.8
Europe,Armenia,Meat,Offline,M,6/2/2023,251208674.0,7084.0,421.9,364.7,2988739.6,2583534.8,405204.8
North America,Senegal,Personal Care,Online,H,10/19/2016,417013394.0,2385.0,82.74,57.37,197334.9,136827.45,60507.45
Middle East and North Africa,Morocco,Beverages,Online,M,9/17/2023,123108947.0,9528.0,43.24,28.97,411990.72,276026.16,135964.56
North America,Nigeria,Personal Care,Online,C,4/29/2016,589856660.0,548.0,82.74,57.37,45341.52,31438.76,13902.76
Central America and the Caribbean,Nicaragua,Clothes,Online,L,7/12/2021,407930362.0,4514.0,111.52,36.58,503401.28,165122.12,338279.16
Europe,Greece,Fruits,Online,L,10/31/2023,488316380.0,2523.0,9.76,7.24,24624.48,18266.52,6357.96
Middle East and North Africa,Oman,Cereal,Offline,H,4/25/2017,912313544.0,2706.0,200.77,114.3,543283.62,309295.8,233987.82
Middle East and North Africa,Syria,Beverages,Online,L,2/16/2017,481533181.0,5224.0,45.51,30.49,237744.24,159279.76,78464.48
North America,Togo,Personal Care,Online,L,2/16/2018,767899119.0,7269.0,83.41,57.84,606307.29,420438.96,185868.33
Europe,Vatican City,Clothes,Online,M,3/23/2018,263647687.0,8064.0,109.01,35.75,879056.64,288288.0,590768.64
North America,Senegal,Beverages,Online,L,3/13/2020,231327712.0,3865.0,48.74,32.65,188380.1,126192.25,62187.85
Europe,Switzerland,Personal Care,Offline,H,4/19/2020,653800523.0,2958.0,80.44,55.77,237941.52,164967.66,72973.86
Europe,Sweden,Cosmetics,Online,L,8/24/2019,684239947.0,661.0,460.68,277.47,304509.48,183407.67,121101.81
North America,Eritrea,Cereal,Offline,M,6/3/2020,896132314.0,4321.0,191.0,108.74,825311.0,469865.54,355445.46
Europe,Vatican City,Personal Care,Online,H,1/27/2022,133276450.0,8318.0,89.69,62.19,746041.42,517296.42,228745.0
Asia,Indonesia,Clothes,Offline,H,7/22/2017,459783685.0,9065.0,109.51,35.92,992708.15,325614.8,667093.35
North America,Rwanda,Clothes,Online,M,10/23/2019,410077846.0,2.0,107.81,35.36,215.62,70.72,144.9
Europe,Moldova ,Personal Care,Offline,L,2/17/2020,838895261.0,6605.0,80.44,55.77,531306.2,368360.85,162945.35
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Online,M,3/27/2022,871284759.0,1377.0,147.2,86.88,202694.4,119633.76,83060.64
Middle East and North Africa,Qatar,Household,Offline,C,5/1/2021,152607667.0,8855.0,680.42,511.68,6025119.1,4530926.4,1494192.7
Europe,Denmark,Meat,Online,C,11/26/2017,198537814.0,606.0,436.35,377.19,264428.1,228577.14,35850.96
Australia and Oceania,Tonga,Meat,Offline,C,8/26/2016,345061528.0,229.0,452.67,391.29,103661.43,89605.41,14056.02
Central America and the Caribbean,Grenada,Vegetables,Offline,M,12/22/2019,898477637.0,8354.0,158.59,93.61,1324860.86,782017.94,542842.92
Europe,Slovenia,Meat,Online,M,10/10/2023,885397469.0,7642.0,421.9,364.7,3224159.8,2787037.4,437122.4
Europe,Hungary,Personal Care,Offline,H,10/16/2020,302744853.0,7785.0,80.44,55.77,626225.4,434169.45,192055.95
North America,Mauritius ,Beverages,Online,L,11/3/2016,567756116.0,506.0,43.95,29.44,22238.7,14896.64,7342.06
North America,Mauritius ,Beverages,Online,M,2/26/2022,467980086.0,4562.0,48.07,32.2,219295.34,146896.4,72398.94
Middle East and North Africa,Syria,Personal Care,Online,L,9/29/2019,211278092.0,737.0,88.84,61.6,65475.08,45399.2,20075.88
Europe,Greece,Office Supplies,Online,L,3/11/2020,975823962.0,6850.0,699.12,563.58,4788972.0,3860523.0,928449.0
Europe,Denmark,Cosmetics,Offline,M,12/27/2019,860104024.0,2749.0,460.68,277.47,1266409.32,762765.03,503644.29
North America,Cape Verde,Cosmetics,Online,M,6/28/2020,732917106.0,5313.0,444.24,267.57,2360247.12,1421599.41,938647.71
North America,Sudan,Cereal,Online,L,7/14/2016,183374536.0,3455.0,201.4,114.66,695837.0,396150.3,299686.7
North America,Cote d'Ivoire,Baby Food,Offline,C,12/18/2022,670900142.0,3116.0,257.74,160.95,803117.84,501520.2,301597.64
Australia and Oceania,Kiribati,Meat,Online,L,10/25/2017,575230252.0,2269.0,436.35,377.19,990078.15,855844.11,134234.04
Central America and the Caribbean,Panama,Office Supplies,Offline,H,11/5/2023,146413695.0,5921.0,618.24,498.38,3660599.04,2950907.98,709691.06
North America,Mali,Fruits,Offline,L,1/2/2019,154811799.0,1106.0,9.06,6.72,10020.36,7432.32,2588.04
North America,Sao Tome and Principe,Household,Online,C,10/30/2020,541098392.0,1893.0,660.77,496.9,1250837.61,940631.7,310205.91
Asia,Kazakhstan,Baby Food,Online,M,3/7/2017,866259801.0,4380.0,235.67,147.18,1032234.6,644648.4,387586.2
Asia,North Korea,Clothes,Offline,C,12/8/2017,761594855.0,1697.0,109.51,35.92,185838.47,60956.24,124882.23
Europe,Montenegro,Cosmetics,Offline,M,11/16/2018,378714883.0,9005.0,419.34,252.57,3776156.7,2274392.85,1501763.85
Middle East and North Africa,Azerbaijan,Personal Care,Online,H,8/24/2020,839543712.0,8496.0,80.44,55.77,683418.24,473821.92,209596.32
Asia,North Korea,Beverages,Online,M,5/18/2017,186317670.0,4394.0,45.51,30.49,199970.94,133973.06,65997.88
Europe,France,Personal Care,Offline,C,3/13/2021,131585586.0,7954.0,75.85,52.6,603310.9,418380.4,184930.5
Middle East and North Africa,Iran,Fruits,Offline,C,1/3/2021,208208787.0,2462.0,9.73,7.21,23955.26,17751.02,6204.24
Asia,Kazakhstan,Baby Food,Offline,M,9/17/2023,919361102.0,8235.0,271.86,169.77,2238767.1,1398055.95,840711.15
Europe,Greece,Personal Care,Online,L,9/11/2017,588528859.0,7623.0,81.65,56.61,622417.95,431538.03,190879.92
Australia and Oceania,East Timor,Beverages,Offline,L,10/11/2023,309510886.0,4.0,43.24,28.97,172.96,115.88,57.08
Europe,Macedonia,Meat,Online,L,2/12/2021,796418511.0,6791.0,418.24,361.54,2840267.84,2455218.14,385049.7
Australia and Oceania,Australia,Cosmetics,Offline,L,4/22/2021,133675563.0,6424.0,418.06,251.8,2685617.44,1617563.2,1068054.24
Europe,Kosovo,Cosmetics,Online,M,6/3/2017,526018369.0,9379.0,439.75,264.87,4124415.25,2484215.73,1640199.52
Middle East and North Africa,Kuwait,Cosmetics,Online,L,7/14/2020,648495757.0,3160.0,444.24,267.57,1403798.4,845521.2,558277.2
Central America and the Caribbean,Dominica,Vegetables,Offline,H,6/30/2018,596469056.0,7303.0,151.37,89.34,1105455.11,652450.02,453005.09
Middle East and North Africa,Jordan,Fruits,Online,H,2/26/2017,535612094.0,8376.0,9.88,7.33,82754.88,61396.08,21358.8
Sub-Saharan Africa,Mexico,Snacks,Offline,L,6/2/2021,251911199.0,4977.0,142.54,91.03,709421.58,453056.31,256365.27
Central America and the Caribbean,Belize,Office Supplies,Offline,L,10/5/2018,501665198.0,2735.0,601.4,484.81,1644829.0,1325955.35,318873.65
Asia,Malaysia,Beverages,Offline,L,1/3/2016,761485421.0,9313.0,43.95,29.44,409306.35,274174.72,135131.63
Middle East and North Africa,United Arab Emirates,Meat,Offline,L,9/10/2017,578295695.0,9402.0,436.35,377.19,4102562.7,3546340.38,556222.32
Middle East and North Africa,Pakistan,Snacks,Offline,M,11/2/2019,919332349.0,9726.0,154.99,98.98,1507432.74,962679.48,544753.26
Europe,Montenegro,Beverages,Offline,C,4/27/2021,122144210.0,4041.0,49.88,33.42,201565.08,135050.22,66514.86
Europe,Belarus,Office Supplies,Offline,H,7/6/2022,644592607.0,8131.0,643.16,518.47,5229533.96,4215679.57,1013854.39
Sub-Saharan Africa,Greenland,Cereal,Offline,H,8/19/2016,514851367.0,4815.0,201.4,114.66,969741.0,552087.9,417653.1
North America,Niger,Vegetables,Offline,C,2/9/2023,981406819.0,8942.0,141.08,83.27,1261537.36,744600.34,516937.02
Middle East and North Africa,Pakistan,Beverages,Offline,M,5/11/2018,663057792.0,2390.0,51.81,34.71,123825.9,82956.9,40869.0
Central America and the Caribbean,Saint Vincent and the Grenadines,Cereal,Online,C,2/27/2022,498915612.0,9072.0,213.22,121.39,1934331.84,1101250.08,833081.76
Europe,Moldova ,Fruits,Online,H,11/3/2020,598404109.0,9929.0,9.38,6.96,93134.02,69105.84,24028.18
North America,Lesotho,Household,Offline,L,12/12/2018,691259610.0,7935.0,713.1,536.25,5658448.5,4255143.75,1403304.75
Europe,Czech Republic,Personal Care,Online,C,4/22/2018,577530944.0,3095.0,83.41,57.84,258153.95,179014.8,79139.15
Sub-Saharan Africa,United States of America,Cereal,Offline,M,10/21/2023,577579438.0,7446.0,200.03,113.88,1489423.38,847950.48,641472.9
Europe,Finland,Fruits,Offline,H,1/12/2022,182078921.0,54.0,9.98,7.4,538.92,399.6,139.32
Europe,Serbia,Baby Food,Online,H,3/22/2020,302015721.0,2018.0,236.58,147.74,477418.44,298139.32,179279.12
Middle East and North Africa,Afghanistan,Fruits,Online,L,6/16/2022,118688666.0,1469.0,9.98,7.4,14660.62,10870.6,3790.02
Europe,Latvia,Clothes,Offline,M,9/28/2020,233709084.0,8566.0,117.99,38.7,1010702.34,331504.2,679198.14
North America,Burkina Faso,Vegetables,Online,M,7/1/2019,419000804.0,504.0,158.59,93.61,79929.36,47179.44,32749.92
Europe,Estonia,Meat,Offline,M,8/25/2016,966800153.0,6505.0,452.67,391.29,2944618.35,2545341.45,399276.9
Asia,Singapore,Baby Food,Online,L,7/12/2022,439655959.0,2823.0,257.74,160.95,727600.02,454361.85,273238.17
Central America and the Caribbean,Grenada,Cosmetics,Offline,H,4/5/2018,620429551.0,7746.0,419.34,252.57,3248207.64,1956407.22,1291800.42
North America,Sao Tome and Principe,Personal Care,Online,H,2/7/2020,662294757.0,6591.0,80.44,55.77,530180.04,367580.07,162599.97
North America,Ethiopia,Office Supplies,Offline,H,8/28/2022,238737905.0,6706.0,643.16,518.47,4313030.96,3476859.82,836171.14
Central America and the Caribbean,Dominican Republic,Cereal,Offline,H,10/23/2017,893557822.0,2471.0,200.77,114.3,496102.67,282435.3,213667.37
Central America and the Caribbean,Belize,Household,Offline,M,3/24/2023,190865838.0,298.0,632.31,475.5,188428.38,141699.0,46729.38
Middle East and North Africa,Turkey,Vegetables,Online,C,2/18/2021,265085780.0,3628.0,143.22,84.53,519602.16,306674.84,212927.32
Asia,Tajikistan,Baby Food,Offline,L,5/26/2022,170953977.0,7936.0,257.74,160.95,2045424.64,1277299.2,768125.44
Asia,China,Clothes,Offline,C,9/26/2022,833519256.0,5725.0,112.02,36.74,641314.5,210336.5,430978.0
North America,Chad,Office Supplies,Offline,L,5/10/2023,998142945.0,1533.0,618.24,498.38,947761.92,764016.54,183745.38
Europe,Bulgaria,Clothes,Online,H,4/24/2020,380498874.0,6927.0,117.99,38.7,817316.73,268074.9,549241.83
North America,Sierra Leone,Meat,Offline,C,9/25/2022,116573369.0,5505.0,397.98,344.02,2190879.9,1893830.1,297049.8
North America,Malawi,Fruits,Offline,C,6/15/2023,512665259.0,7898.0,9.76,7.24,77084.48,57181.52,19902.96
Europe,Luxembourg,Personal Care,Offline,M,12/7/2017,595385873.0,6765.0,81.65,56.61,552362.25,382966.65,169395.6
Europe,Luxembourg,Cereal,Online,L,6/30/2018,361659038.0,1801.0,212.12,120.77,382028.12,217506.77,164521.35
Europe,Kosovo,Baby Food,Online,L,12/14/2022,328721082.0,4728.0,257.74,160.95,1218594.72,760971.6,457623.12
Europe,Denmark,Clothes,Offline,H,10/27/2020,184120833.0,4301.0,117.99,38.7,507474.99,166448.7,341026.29
Asia,Singapore,Meat,Online,H,10/29/2017,135719621.0,1307.0,436.35,377.19,570309.45,492987.33,77322.12
Australia and Oceania,Samoa ,Personal Care,Offline,C,12/23/2016,461691272.0,3562.0,82.74,57.37,294719.88,204351.94,90367.94
Asia,Philippines,Snacks,Offline,M,5/6/2022,160522115.0,916.0,140.03,89.43,128267.48,81917.88,46349.6
Asia,China,Meat,Online,H,2/17/2020,101010978.0,248.0,397.31,343.45,98532.88,85175.6,13357.28
Middle East and North Africa,Iraq,Vegetables,Online,M,4/29/2020,772269189.0,469.0,167.61,98.93,78609.09,46398.17,32210.92
Europe,Liechtenstein,Vegetables,Offline,H,8/14/2022,933720576.0,7523.0,147.2,86.88,1107385.6,653598.24,453787.36
Europe,Latvia,Cosmetics,Online,H,3/14/2020,765101468.0,9382.0,444.24,267.57,4167859.68,2510341.74,1657517.94
Europe,Armenia,Household,Offline,M,9/3/2018,516460692.0,1051.0,713.1,536.25,749468.1,563598.75,185869.35
Asia,North Korea,Fruits,Online,L,2/23/2017,958159577.0,9566.0,9.88,7.33,94512.08,70118.78,24393.3
Asia,Nepal,Household,Offline,H,7/26/2019,230871951.0,8996.0,675.75,508.17,6079047.0,4571497.32,1507549.68
North America,Cape Verde,Fruits,Online,M,5/20/2021,595584142.0,5438.0,9.73,7.21,52911.74,39207.98,13703.76
Europe,Ukraine,Meat,Offline,H,4/25/2021,783594977.0,2022.0,418.24,361.54,845681.28,731033.88,114647.4
Asia,Tajikistan,Personal Care,Online,L,9/22/2022,946515786.0,3910.0,89.69,62.19,350687.9,243162.9,107525.0
Europe,Romania,Snacks,Online,L,4/3/2022,406270396.0,3293.0,140.03,89.43,461118.79,294492.99,166625.8
Europe,Kosovo,Vegetables,Online,L,1/13/2016,805095136.0,4396.0,148.02,87.37,650695.92,384078.52,266617.4
Asia,Thailand,Fruits,Offline,M,3/12/2018,255538833.0,8474.0,8.73,6.47,73978.02,54826.78,19151.24
