,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
915,Central America and the Caribbean,Dominican Republic,Household,Offline,L,3/19/2022,810593879,1597,$685.69,$515.64,$1095046.93,$823477.08,$271569.85
916,Middle East and North Africa,Oman,Clothes,Offline,L,4/4/2020,561307656,2264,$117.99,$38.7,$267129.36,$87616.8,$179512.56
917,Australia and Oceania,Fiji,Cosmetics,Offline,L,3/27/2017,930730235,2614,$439.75,$264.87,$1149506.5,$692370.18,$457136.32
918,Central America and the Caribbean,Barbados,Clothes,Online,L,6/4/2022,861097943,6872,$112.02,$36.74,$769801.44,$252477.28,$517324.16
919,Europe,Georgia,Snacks,Online,C,9/1/2019,264959609,6291,$154.99,$98.98,$975042.09,$622683.18,$352358.91
920,Europe,Malta,Fruits,Online,L,7/31/2016,475176560,4159,$8.62,$6.39,$35850.58,$26576.01,$9274.57
921,Europe,Armenia,Baby Food,Offline,H,1/23/2018,194922626,791,$262.74,$164.08,$207827.34,$129787.28,$78040.06
922,Europe,France,Snacks,Offline,M,7/3/2022,447684133,8538,$140.03,$89.43,$1195576.14,$763553.34,$432022.8
923,Europe,Liechtenstein,Personal Care,Online,H,1/4/2018,527259910,6779,$83.41,$57.84,$565436.39,$392097.36,$173339.03
924,Asia,Uzbekistan,Beverages,Online,M,6/15/2016,247761285,6925,$43.95,$29.44,$304353.75,$203872.0,$100481.75
925,Central America and the Caribbean,Nicaragua,Meat,Offline,C,6/3/2019,393612086,7418,$394.44,$340.96,$2925955.92,$2529241.28,$396714.64
926,North America,Rwanda,Clothes,Offline,M,12/30/2023,469548642,8732,$119.17,$39.08,$1040592.44,$341246.56,$699345.88
927,Asia,Vietnam,Fruits,Online,M,7/13/2016,950619781,8373,$8.62,$6.39,$72175.26,$53503.47,$18671.79
928,North America,Guinea,Cosmetics,Offline,M,3/2/2019,132186830,5875,$460.68,$277.47,$2706495.0,$1630136.25,$1076358.75
929,Europe,Hungary,Baby Food,Online,M,8/10/2020,879923617,7807,$236.58,$147.74,$1846980.06,$1153406.18,$693573.88
930,Europe,Portugal,Snacks,Offline,H,3/9/2020,279816472,2767,$165.45,$105.66,$457800.15,$292361.22,$165438.93
931,Australia and Oceania,Solomon Islands,Beverages,Offline,C,2/4/2022,888164222,6385,$48.07,$32.2,$306926.95,$205597.0,$101329.95
932,North America,Cote d'Ivoire,Cosmetics,Online,H,6/11/2016,381578195,6322,$447.9,$269.77,$2831623.8,$1705485.94,$1126137.86
933,North America,Uganda,Household,Online,M,11/27/2020,106982219,7271,$660.77,$496.9,$4804458.67,$3612959.9,$1191498.77
934,Central America and the Caribbean,Haiti,Fruits,Offline,H,5/14/2016,131612622,5954,$8.62,$6.39,$51323.48,$38046.06,$13277.42
935,Europe,Cyprus,Snacks,Online,M,11/5/2018,593018233,6128,$163.56,$104.45,$1002295.68,$640069.6,$362226.08
936,Europe,Macedonia,Baby Food,Online,H,9/16/2022,349060380,3578,$257.74,$160.95,$922193.72,$575879.1,$346314.62
937,Central America and the Caribbean,Trinidad and Tobago,Household,Online,M,8/11/2019,127912890,1122,$675.75,$508.17,$758191.5,$570166.74,$188024.76
938,North America,Cape Verde,Cosmetics,Offline,C,5/27/2017,278062093,3607,$439.75,$264.87,$1586178.25,$955386.09,$630792.16
939,Central America and the Caribbean,Costa Rica,Fruits,Offline,H,3/21/2023,318306815,2915,$9.76,$7.24,$28450.4,$21104.6,$7345.8
940,Middle East and North Africa,Somalia,Cereal,Online,H,2/13/2022,287758386,2956,$213.22,$121.39,$630278.32,$358828.84,$271449.48
941,Asia,Brunei,Fruits,Offline,L,1/3/2016,295840632,4672,$8.62,$6.39,$40272.64,$29854.08,$10418.56
942,Asia,Taiwan,Beverages,Online,H,7/30/2022,972289884,1038,$48.07,$32.2,$49896.66,$33423.6,$16473.06
943,Middle East and North Africa,Afghanistan,Vegetables,Online,C,12/6/2020,317154967,2058,$167.61,$98.93,$344941.38,$203597.94,$141343.44
944,Central America and the Caribbean,Guatemala,Meat,Offline,H,7/12/2023,450797212,9767,$421.9,$364.7,$4120697.3,$3562024.9,$558672.4
945,Europe,Latvia,Household,Offline,C,12/18/2016,863890445,3235,$725.57,$545.63,$2347218.95,$1765113.05,$582105.9
946,Europe,Armenia,Personal Care,Online,C,1/16/2016,667420995,3559,$82.74,$57.37,$294471.66,$204179.83,$90291.83
947,Europe,Montenegro,Vegetables,Offline,H,4/10/2017,842687690,8869,$157.9,$93.19,$1400415.1,$826502.11,$573912.99
948,Australia and Oceania,East Timor,Personal Care,Offline,H,3/25/2020,191301858,9326,$80.44,$55.77,$750183.44,$520111.02,$230072.42
949,Middle East and North Africa,Lebanon,Cereal,Online,L,10/8/2023,285187327,2123,$200.03,$113.88,$424663.69,$241767.24,$182896.45
950,Central America and the Caribbean,Grenada,Meat,Offline,M,10/20/2019,516580426,6483,$394.44,$340.96,$2557154.52,$2210443.68,$346710.84
951,North America,Seychelles ,Meat,Offline,L,2/9/2017,348029983,8661,$436.35,$377.19,$3779227.35,$3266842.59,$512384.76
952,Central America and the Caribbean,Grenada,Office Supplies,Offline,L,7/7/2017,662397325,6943,$664.11,$535.36,$4610915.73,$3717004.48,$893911.25
953,North America,Nigeria,Snacks,Offline,L,2/19/2022,612856280,6647,$140.03,$89.43,$930779.41,$594441.21,$336338.2
954,Europe,San Marino,Beverages,Offline,L,1/2/2018,772893178,5122,$51.81,$34.71,$265370.82,$177784.62,$87586.2
955,North America,Mauritius ,Baby Food,Online,H,9/21/2019,886306846,6746,$279.84,$174.76,$1887800.64,$1178930.96,$708869.68
956,Asia,Indonesia,Vegetables,Online,C,3/29/2020,317208611,7932,$167.61,$98.93,$1329482.52,$784712.76,$544769.76
957,North America,Republic of the Congo,Baby Food,Offline,L,5/11/2017,300022304,2122,$235.67,$147.18,$500091.74,$312315.96,$187775.78
958,Europe,Czech Republic,Snacks,Online,M,7/5/2017,789484250,4789,$139.94,$89.37,$670172.66,$427992.93,$242179.73
959,North America,Republic of the Congo,Cereal,Offline,M,11/3/2016,910643279,8438,$201.4,$114.66,$1699413.2,$967501.08,$731912.12
960,Central America and the Caribbean,Saint Kitts and Nevis ,Meat,Offline,L,2/17/2020,308860719,7605,$397.31,$343.45,$3021542.55,$2611937.25,$409605.3
961,Middle East and North Africa,Somalia,Snacks,Online,M,11/14/2023,499810397,3858,$167.26,$106.82,$645289.08,$412111.56,$233177.52
962,Sub-Saharan Africa,Greenland,Clothes,Online,C,8/10/2017,819478642,796,$109.51,$35.92,$87169.96,$28592.32,$58577.64
963,Australia and Oceania,Palau,Baby Food,Offline,L,11/22/2022,674164283,9048,$257.74,$160.95,$2332031.52,$1456275.6,$875755.92
964,North America,Mauritius ,Cereal,Offline,L,6/22/2016,890478646,1275,$201.4,$114.66,$256785.0,$146191.5,$110593.5
965,North America,Mauritania,Meat,Online,M,10/26/2019,565345561,7170,$394.44,$340.96,$2828134.8,$2444683.2,$383451.6
966,Sub-Saharan Africa,Canada,Household,Online,H,8/4/2017,216001355,8456,$718.44,$540.27,$6075128.64,$4568523.12,$1506605.52
967,Australia and Oceania,Palau,Beverages,Online,M,1/10/2022,429994857,3888,$48.07,$32.2,$186896.16,$125193.6,$61702.56
968,Australia and Oceania,Solomon Islands,Office Supplies,Online,C,2/17/2016,515187394,4253,$641.44,$517.08,$2728044.32,$2199141.24,$528903.08
969,North America,Nigeria,Office Supplies,Online,L,1/24/2018,749752795,7368,$601.4,$484.81,$4431115.2,$3572080.08,$859035.12
970,North America,Comoros,Beverages,Offline,M,9/29/2016,132177388,3081,$43.95,$29.44,$135409.95,$90704.64,$44705.31
971,Asia,Thailand,Baby Food,Online,L,2/6/2023,431260001,8273,$271.86,$169.77,$2249097.78,$1404507.21,$844590.57
972,Europe,Vatican City,Personal Care,Offline,M,5/24/2018,336111962,1854,$83.41,$57.84,$154642.14,$107235.36,$47406.78
973,North America,Equatorial Guinea,Personal Care,Online,M,6/20/2021,406157100,9766,$75.85,$52.6,$740751.1,$513691.6,$227059.5
974,Europe,San Marino,Household,Offline,H,12/9/2023,821131742,9985,$632.31,$475.5,$6313615.35,$4747867.5,$1565747.85
975,North America,Sao Tome and Principe,Personal Care,Online,M,5/28/2019,931084716,7513,$88.84,$61.6,$667454.92,$462800.8,$204654.12
976,North America,Seychelles ,Baby Food,Offline,H,7/20/2022,606377351,9388,$257.74,$160.95,$2419663.12,$1510998.6,$908664.52
977,North America,Togo,Vegetables,Online,L,3/7/2020,687683475,9677,$167.61,$98.93,$1621961.97,$957345.61,$664616.36
978,Middle East and North Africa,Somalia,Cosmetics,Offline,C,4/23/2017,735989415,4478,$439.75,$264.87,$1969200.5,$1186087.86,$783112.64
979,Central America and the Caribbean,Antigua and Barbuda ,Snacks,Offline,M,3/27/2016,382594001,6922,$141.5,$90.37,$979463.0,$625541.14,$353921.86
980,Europe,Liechtenstein,Household,Online,M,4/27/2020,679108560,2169,$660.77,$496.9,$1433210.13,$1077776.1,$355434.03
981,North America,Equatorial Guinea,Beverages,Online,M,8/18/2022,947456920,2412,$48.07,$32.2,$115944.84,$77666.4,$38278.44
982,Europe,Lithuania,Personal Care,Offline,L,4/19/2017,129875409,1875,$81.65,$56.61,$153093.75,$106143.75,$46950.0
983,Central America and the Caribbean,Panama,Baby Food,Offline,H,6/14/2018,838912856,1811,$262.74,$164.08,$475822.14,$297148.88,$178673.26
984,Sub-Saharan Africa,United States of America,Beverages,Offline,C,7/25/2018,807430589,5509,$51.81,$34.71,$285421.29,$191217.39,$94203.9
985,North America,Angola,Office Supplies,Online,L,7/16/2022,538602435,3284,$643.16,$518.47,$2112137.44,$1702655.48,$409481.96
986,Europe,Ireland,Fruits,Offline,H,3/12/2023,155914723,7486,$9.76,$7.24,$73063.36,$54198.64,$18864.72
987,Europe,Spain,Fruits,Online,H,10/9/2017,753166282,7495,$9.88,$7.33,$74050.6,$54938.35,$19112.25
988,North America,Chad,Baby Food,Online,C,7/30/2016,344468438,4721,$250.04,$156.15,$1180438.84,$737184.15,$443254.69
989,Asia,Malaysia,Cosmetics,Offline,L,3/13/2019,614245021,7606,$460.68,$277.47,$3503932.08,$2110436.82,$1393495.26
990,Central America and the Caribbean,Belize,Fruits,Online,L,9/18/2020,167232358,6626,$9.38,$6.96,$62151.88,$46116.96,$16034.92
991,Central America and the Caribbean,Antigua and Barbuda ,Snacks,Online,C,1/20/2023,378479278,9284,$167.26,$106.82,$1552841.84,$991716.88,$561124.96
992,Europe,Andorra,Cereal,Offline,M,3/20/2023,443347108,5116,$200.03,$113.88,$1023353.48,$582610.08,$440743.4
993,Europe,Iceland,Office Supplies,Online,C,6/19/2019,527509677,691,$640.48,$516.31,$442571.68,$356770.21,$85801.47
994,Europe,Ireland,Beverages,Offline,H,9/20/2022,416953313,4606,$48.07,$32.2,$221410.42,$148313.2,$73097.22
995,Middle East and North Africa,Libya,Beverages,Online,M,1/8/2020,867976844,2491,$48.74,$32.65,$121411.34,$81331.15,$40080.19
996,North America,Burkina Faso,Vegetables,Offline,M,8/16/2016,457191598,2008,$148.02,$87.37,$297224.16,$175438.96,$121785.2
997,Australia and Oceania,Solomon Islands,Fruits,Offline,H,8/19/2022,531521403,7850,$9.98,$7.4,$78343.0,$58090.0,$20253.0
998,Middle East and North Africa,Oman,Office Supplies,Online,L,12/6/2018,258202588,6738,$601.4,$484.81,$4052233.2,$3266649.78,$785583.42
999,North America,Sierra Leone,Snacks,Online,M,7/15/2023,674783980,2430,$167.26,$106.82,$406441.8,$259572.6,$146869.2
1000,Europe,Bosnia and Herzegovina,Cereal,Online,C,3/30/2017,639126908,710,$200.77,$114.3,$142546.7,$81153.0,$61393.7
1001,Europe,Belarus,Beverages,Online,L,6/3/2020,879405200,4396,$48.74,$32.65,$214261.04,$143529.4,$70731.64
1002,Europe,Slovenia,Beverages,Offline,H,3/17/2016,844105184,8337,$43.95,$29.44,$366411.15,$245441.28,$120969.87
1003,Australia and Oceania,Kiribati,Household,Offline,C,4/24/2017,952025687,4412,$718.44,$540.27,$3169757.28,$2383671.24,$786086.04
1004,Central America and the Caribbean,Costa Rica,Office Supplies,Online,C,5/11/2022,342278039,6533,$643.16,$518.47,$4201764.28,$3387164.51,$814599.77
1005,North America,Democratic Republic of the Congo,Clothes,Online,H,9/9/2019,924286067,5642,$107.81,$35.36,$608264.02,$199501.12,$408762.9
1006,Central America and the Caribbean,Grenada,Clothes,Offline,L,6/1/2023,627786099,4712,$119.17,$39.08,$561529.04,$184144.96,$377384.08
1007,North America,Mozambique,Household,Online,M,10/15/2023,152826964,3750,$632.31,$475.5,$2371162.5,$1783125.0,$588037.5
1008,North America,Sudan,Household,Online,M,2/13/2016,719769990,4790,$725.57,$545.63,$3475480.3,$2613567.7,$861912.6
1009,North America,Benin,Snacks,Online,H,9/23/2019,919289004,6900,$154.99,$98.98,$1069431.0,$682962.0,$386469.0
1010,Australia and Oceania,Palau,Baby Food,Online,M,9/10/2018,762370336,1179,$262.74,$164.08,$309770.46,$193450.32,$116320.14
1011,Australia and Oceania,Fiji,Cosmetics,Online,M,2/7/2019,330312812,5756,$460.68,$277.47,$2651674.08,$1597117.32,$1054556.76
1012,Central America and the Caribbean,Saint Lucia,Cereal,Online,L,7/13/2020,224727761,793,$191.0,$108.74,$151463.0,$86230.82,$65232.18
1013,Sub-Saharan Africa,Mexico,Meat,Online,H,10/29/2019,217539012,3483,$394.44,$340.96,$1373834.52,$1187563.68,$186270.84
1014,Australia and Oceania,Samoa ,Baby Food,Online,H,6/26/2022,600982892,3048,$257.74,$160.95,$785591.52,$490575.6,$295015.92
1015,North America,Botswana,Vegetables,Online,M,2/16/2016,837608230,5744,$148.02,$87.37,$850226.88,$501853.28,$348373.6
1016,Middle East and North Africa,Turkey,Clothes,Offline,L,9/26/2019,910276353,9856,$107.81,$35.36,$1062575.36,$348508.16,$714067.2
1017,North America,Ethiopia,Snacks,Offline,L,4/11/2019,872161090,703,$154.99,$98.98,$108957.97,$69582.94,$39375.03
1018,Asia,Kazakhstan,Beverages,Offline,H,12/6/2016,396748769,5632,$43.95,$29.44,$247526.4,$165806.08,$81720.32
1019,Europe,Netherlands,Fruits,Offline,C,9/20/2019,127838218,9024,$9.06,$6.72,$81757.44,$60641.28,$21116.16
1020,Asia,Uzbekistan,Beverages,Online,H,8/8/2020,329540765,7290,$48.74,$32.65,$355314.6,$238018.5,$117296.1
1021,North America,Cameroon,Fruits,Offline,H,5/15/2017,436280238,3872,$9.88,$7.33,$38255.36,$28381.76,$9873.6
1022,Central America and the Caribbean,Cuba,Baby Food,Offline,H,6/19/2016,402792966,4244,$250.04,$156.15,$1061169.76,$662700.6,$398469.16
1023,North America,Angola,Vegetables,Online,M,8/8/2023,254127776,911,$141.08,$83.27,$128523.88,$75858.97,$52664.91
1024,North America,Burkina Faso,Beverages,Online,M,5/31/2022,535645997,8409,$48.07,$32.2,$404220.63,$270769.8,$133450.83
1025,North America,Kenya,Clothes,Offline,M,12/19/2020,963021457,8304,$117.99,$38.7,$979788.96,$321364.8,$658424.16
1026,Australia and Oceania,Tonga,Office Supplies,Online,L,5/18/2020,872240483,4197,$699.12,$563.58,$2934206.64,$2365345.26,$568861.38
1027,North America,Democratic Republic of the Congo,Household,Offline,C,1/21/2023,569601905,6716,$632.31,$475.5,$4246593.96,$3193458.0,$1053135.96
1028,Europe,Belgium,Snacks,Online,M,11/22/2016,881717050,8524,$141.5,$90.37,$1206146.0,$770313.88,$435832.12
1029,Europe,Macedonia,Household,Offline,L,10/13/2023,905509746,9311,$632.31,$475.5,$5887438.41,$4427380.5,$1460057.91
1030,North America,Botswana,Office Supplies,Online,H,5/23/2020,258216321,802,$699.12,$563.58,$560694.24,$451991.16,$108703.08
1031,Asia,Japan,Meat,Offline,H,5/18/2017,427385604,1752,$436.35,$377.19,$764485.2,$660836.88,$103648.32
1032,Europe,Liechtenstein,Baby Food,Online,H,6/22/2018,720878922,2948,$262.74,$164.08,$774557.52,$483707.84,$290849.68
1033,Asia,Brunei,Fruits,Offline,L,2/9/2019,516870105,2205,$9.06,$6.72,$19977.3,$14817.6,$5159.7
1034,Asia,Japan,Fruits,Offline,H,5/12/2021,613845479,9373,$9.73,$7.21,$91199.29,$67579.33,$23619.96
1035,Asia,Cambodia,Cereal,Offline,H,6/6/2017,980603873,1332,$200.77,$114.3,$267425.64,$152247.6,$115178.04
1036,Europe,Italy,Personal Care,Offline,L,11/14/2018,306256616,6993,$83.41,$57.84,$583286.13,$404475.12,$178811.01
1037,Australia and Oceania,Samoa ,Household,Offline,L,10/24/2019,950227534,2298,$675.75,$508.17,$1552873.5,$1167774.66,$385098.84
1038,Europe,Spain,Cereal,Offline,M,1/4/2023,392252957,5222,$200.03,$113.88,$1044556.66,$594681.36,$449875.3
1039,Asia,Kyrgyzstan,Personal Care,Online,M,7/1/2020,682381713,768,$80.44,$55.77,$61777.92,$42831.36,$18946.56
1040,North America,Benin,Clothes,Online,H,5/19/2017,790975129,5973,$109.51,$35.92,$654103.23,$214550.16,$439553.07
1041,North America,Chad,Cosmetics,Offline,L,3/7/2021,658707034,4904,$418.06,$251.8,$2050166.24,$1234827.2,$815339.04
1042,Europe,Norway,Cosmetics,Offline,C,3/14/2020,746563756,3661,$444.24,$267.57,$1626362.64,$979573.77,$646788.87
1043,Central America and the Caribbean,Cuba,Fruits,Offline,M,4/21/2018,685844123,5372,$8.73,$6.47,$46897.56,$34756.84,$12140.72
1044,Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,M,11/10/2020,628159463,5199,$117.99,$38.7,$613430.01,$201201.3,$412228.71
1045,Central America and the Caribbean,Haiti,Snacks,Online,L,12/5/2020,795433604,5335,$165.45,$105.66,$882675.75,$563696.1,$318979.65
1046,Europe,Bulgaria,Household,Online,C,3/21/2020,129902875,2,$660.77,$496.9,$1321.54,$993.8,$327.74
1047,Australia and Oceania,Samoa ,Office Supplies,Offline,M,9/17/2017,344116103,457,$664.11,$535.36,$303498.27,$244659.52,$58838.75
1048,North America,Equatorial Guinea,Snacks,Online,M,1/10/2023,970934617,9984,$167.26,$106.82,$1669923.84,$1066490.88,$603432.96
1049,Asia,Philippines,Cereal,Online,L,12/2/2019,713532245,8902,$197.33,$112.34,$1756631.66,$1000050.68,$756580.98
1050,Europe,San Marino,Beverages,Offline,M,5/10/2020,595395314,9559,$48.74,$32.65,$465905.66,$312101.35,$153804.31
1051,Central America and the Caribbean,Trinidad and Tobago,Cereal,Offline,L,1/2/2018,810322654,1335,$212.12,$120.77,$283180.2,$161227.95,$121952.25
1052,Europe,Denmark,Fruits,Online,L,3/4/2017,272425591,5641,$9.88,$7.33,$55733.08,$41348.53,$14384.55
1053,Central America and the Caribbean,Costa Rica,Cereal,Offline,L,6/12/2019,666127955,920,$197.33,$112.34,$181543.6,$103352.8,$78190.8
1054,Europe,Germany,Baby Food,Offline,H,11/27/2019,596166074,7644,$279.84,$174.76,$2139096.96,$1335865.44,$803231.52
1055,Asia,India,Personal Care,Offline,C,6/23/2018,537588775,3320,$83.41,$57.84,$276921.2,$192028.8,$84892.4
1056,North America,Sao Tome and Principe,Cereal,Offline,L,2/28/2016,585757386,7482,$201.4,$114.66,$1506874.8,$857886.12,$648988.68
1057,Europe,Netherlands,Beverages,Offline,C,10/18/2018,906345736,6699,$51.81,$34.71,$347075.19,$232522.29,$114552.9
1058,Europe,Germany,Cosmetics,Offline,M,2/26/2018,385340154,9569,$419.34,$252.57,$4012664.46,$2416842.33,$1595822.13
1059,Europe,Sweden,Cosmetics,Offline,H,6/3/2018,679039466,1723,$419.34,$252.57,$722522.82,$435178.11,$287344.71
1060,North America,Cameroon,Household,Offline,L,4/13/2017,364055001,820,$718.44,$540.27,$589120.8,$443021.4,$146099.4
1061,Asia,Tajikistan,Baby Food,Online,H,4/6/2017,787310588,1554,$235.67,$147.18,$366231.18,$228717.72,$137513.46
1062,North America,Swaziland,Clothes,Online,H,12/20/2023,216042554,647,$119.17,$39.08,$77102.99,$25284.76,$51818.23
1063,Europe,San Marino,Baby Food,Offline,L,2/15/2017,587799727,1856,$235.67,$147.18,$437403.52,$273166.08,$164237.44
1064,Middle East and North Africa,United Arab Emirates,Fruits,Online,L,10/27/2019,760443437,966,$9.06,$6.72,$8751.96,$6491.52,$2260.44
1065,Asia,Bangladesh,Office Supplies,Offline,M,9/15/2023,562147510,795,$618.24,$498.38,$491500.8,$396212.1,$95288.7
1066,Europe,Georgia,Snacks,Offline,L,1/22/2021,341398274,6191,$142.54,$91.03,$882465.14,$563566.73,$318898.41
1067,Europe,Greece,Fruits,Offline,H,6/14/2023,516994559,9034,$9.76,$7.24,$88171.84,$65406.16,$22765.68
1068,Australia and Oceania,Papua New Guinea,Beverages,Offline,C,1/27/2021,228047692,3235,$49.88,$33.42,$161361.8,$108113.7,$53248.1
1069,Europe,Slovenia,Office Supplies,Online,H,4/9/2016,483981502,9736,$641.44,$517.08,$6245059.84,$5034290.88,$1210768.96
1070,Middle East and North Africa,Azerbaijan,Clothes,Offline,M,9/22/2020,114532315,1512,$117.99,$38.7,$178400.88,$58514.4,$119886.48
1071,Central America and the Caribbean,Barbados,Fruits,Offline,H,2/11/2021,719748961,8567,$9.73,$7.21,$83356.91,$61768.07,$21588.84
1072,Middle East and North Africa,Oman,Cereal,Online,H,10/3/2018,819992768,2937,$212.12,$120.77,$622996.44,$354701.49,$268294.95
1073,Asia,Bhutan,Cosmetics,Offline,C,12/18/2022,805937564,3690,$465.35,$280.28,$1717141.5,$1034233.2,$682908.3
1074,North America,Chad,Personal Care,Online,C,10/27/2023,688569676,1924,$88.17,$61.14,$169639.08,$117633.36,$52005.72
1075,Europe,Slovakia,Cosmetics,Online,H,5/30/2023,549187934,5769,$399.45,$240.59,$2304427.05,$1387963.71,$916463.34
1076,Europe,Macedonia,Clothes,Online,M,4/22/2023,989403665,5386,$119.17,$39.08,$641849.62,$210484.88,$431364.74
1077,Australia and Oceania,Federated States of Micronesia,Baby Food,Online,C,5/11/2018,881140697,7968,$262.74,$164.08,$2093512.32,$1307389.44,$786122.88
1078,Europe,Lithuania,Household,Online,H,1/25/2018,516635358,2738,$713.1,$536.25,$1952467.8,$1468252.5,$484215.3
1079,Sub-Saharan Africa,United States of America,Fruits,Online,M,3/12/2021,258436477,5951,$9.73,$7.21,$57903.23,$42906.71,$14996.52
1080,Australia and Oceania,Samoa ,Fruits,Offline,C,6/7/2022,989405381,5894,$9.98,$7.4,$58822.12,$43615.6,$15206.52
1081,North America,Republic of the Congo,Cosmetics,Offline,M,11/23/2016,962715899,7883,$447.9,$269.77,$3530795.7,$2126596.91,$1404198.79
1082,North America,Botswana,Cosmetics,Offline,C,4/30/2016,751854360,9268,$447.9,$269.77,$4151137.2,$2500228.36,$1650908.84
1083,Asia,Uzbekistan,Household,Online,H,3/11/2020,100619590,4427,$660.77,$496.9,$2925228.79,$2199776.3,$725452.49
1084,Europe,Belarus,Clothes,Offline,M,6/8/2023,173122918,9773,$119.17,$39.08,$1164648.41,$381928.84,$782719.57
1085,North America,Cote d'Ivoire,Household,Offline,C,11/9/2017,403788173,8748,$718.44,$540.27,$6284913.12,$4726281.96,$1558631.16
1086,North America,Togo,Fruits,Online,M,6/19/2021,747351682,6825,$9.73,$7.21,$66407.25,$49208.25,$17199.0
1087,North America,Benin,Household,Online,H,4/5/2019,328862273,6510,$675.75,$508.17,$4399132.5,$3308186.7,$1090945.8
1088,North America,Kenya,Personal Care,Online,M,8/7/2017,593681275,2337,$81.65,$56.61,$190816.05,$132297.57,$58518.48
1089,Europe,Ireland,Beverages,Online,C,7/14/2020,357482516,5875,$48.74,$32.65,$286347.5,$191818.75,$94528.75
1090,Europe,Slovenia,Fruits,Online,L,1/18/2016,756252324,723,$8.62,$6.39,$6232.26,$4619.97,$1612.29
1091,Sub-Saharan Africa,United States of America,Office Supplies,Online,M,9/10/2019,296289527,7510,$640.48,$516.31,$4810004.8,$3877488.1,$932516.7
1092,North America,Rwanda,Snacks,Online,M,10/14/2017,704205453,8897,$139.94,$89.37,$1245046.18,$795124.89,$449921.29
1093,Asia,Myanmar,Cereal,Offline,M,8/25/2016,176923930,4577,$201.4,$114.66,$921807.8,$524798.82,$397008.98
1094,North America,South Africa,Vegetables,Online,M,2/2/2016,131681287,6274,$148.02,$87.37,$928677.48,$548159.38,$380518.1
1095,Middle East and North Africa,Iraq,Fruits,Online,C,10/11/2020,256026351,2742,$9.38,$6.96,$25719.96,$19084.32,$6635.64
1096,North America,Sudan,Snacks,Offline,L,4/16/2023,757820451,4767,$167.26,$106.82,$797328.42,$509210.94,$288117.48
1097,Middle East and North Africa,Tunisia ,Vegetables,Offline,H,8/19/2020,115237414,167,$167.61,$98.93,$27990.87,$16521.31,$11469.56
1098,Europe,Monaco,Clothes,Offline,H,11/16/2022,926763570,8790,$112.02,$36.74,$984655.8,$322944.6,$661711.2
1099,Australia and Oceania,Samoa ,Fruits,Online,H,10/21/2023,461197745,7517,$9.76,$7.24,$73365.92,$54423.08,$18942.84
1100,Europe,Croatia,Household,Online,M,10/28/2019,107651269,5258,$675.75,$508.17,$3553093.5,$2671957.86,$881135.64
1101,Europe,Andorra,Beverages,Online,H,8/19/2016,425547969,7955,$43.95,$29.44,$349622.25,$234195.2,$115427.05
1102,Central America and the Caribbean,Cuba,Household,Offline,C,7/22/2020,694624173,3584,$660.77,$496.9,$2368199.68,$1780889.6,$587310.08
1103,Europe,Estonia,Clothes,Offline,L,1/24/2022,264928710,7147,$112.02,$36.74,$800606.94,$262580.78,$538026.16
1104,Sub-Saharan Africa,Greenland,Household,Online,M,4/3/2020,806822907,5683,$660.77,$496.9,$3755155.91,$2823882.7,$931273.21
1105,Central America and the Caribbean,Costa Rica,Cereal,Offline,C,1/29/2019,460980594,3257,$197.33,$112.34,$642703.81,$365891.38,$276812.43
1106,North America,Cote d'Ivoire,Vegetables,Online,H,7/24/2021,588388097,5968,$143.22,$84.53,$854736.96,$504475.04,$350261.92
1107,North America,Benin,Beverages,Offline,L,11/5/2020,820344245,6947,$48.74,$32.65,$338596.78,$226819.55,$111777.23
1108,Australia and Oceania,New Zealand,Baby Food,Online,L,11/14/2023,408460366,1354,$271.86,$169.77,$368098.44,$229868.58,$138229.86
1109,Sub-Saharan Africa,United States of America,Baby Food,Offline,H,9/12/2019,474660289,1382,$279.84,$174.76,$386738.88,$241518.32,$145220.56
1110,Europe,Andorra,Beverages,Offline,L,1/13/2016,861180341,1255,$43.95,$29.44,$55157.25,$36947.2,$18210.05
1111,Europe,Ireland,Beverages,Offline,M,6/10/2017,580569350,2227,$45.51,$30.49,$101350.77,$67901.23,$33449.54
1112,Australia and Oceania,Tonga,Beverages,Offline,M,5/21/2016,965688645,7585,$43.95,$29.44,$333360.75,$223302.4,$110058.35
1113,Central America and the Caribbean,Grenada,Beverages,Offline,C,10/10/2017,719712054,7645,$45.51,$30.49,$347923.95,$233096.05,$114827.9
1114,Central America and the Caribbean,Panama,Household,Online,L,12/28/2019,866125905,4757,$675.75,$508.17,$3214542.75,$2417364.69,$797178.06
1115,North America,South Sudan,Cereal,Offline,M,9/17/2018,698729026,8301,$212.12,$120.77,$1760808.12,$1002511.77,$758296.35
1116,Asia,China,Household,Online,L,3/29/2018,931632745,9687,$713.1,$536.25,$6907799.7,$5194653.75,$1713145.95
1117,Asia,Vietnam,Cereal,Offline,H,3/3/2020,549260890,7358,$191.0,$108.74,$1405378.0,$800108.92,$605269.08
1118,Middle East and North Africa,Libya,Beverages,Online,C,7/27/2019,856349790,1788,$47.12,$31.57,$84250.56,$56447.16,$27803.4
